iter	RMSE
0	3759.857178
1	3539.467561
2	3337.853927
3	3151.748838
4	2978.457612
5	2821.533087
6	2672.839855
7	2535.999189
8	2405.670176
9	2290.668994
10	2183.984719
11	2080.424731
12	1988.372725
13	1904.068391
14	1825.286835
15	1754.562357
16	1687.075391
17	1629.420628
18	1572.918608
19	1522.478464
20	1475.956516
21	1431.501193
22	1392.941167
23	1354.957466
24	1319.779188
25	1287.205275
26	1259.47248
27	1234.338272
28	1210.625256
29	1188.39622
30	1167.950732
31	1148.026598
32	1130.730293
33	1112.672127
34	1099.076676
35	1085.051737
36	1074.370174
37	1062.899013
38	1050.105096
39	1040.986338
40	1028.770662
41	1019.810879
42	1007.8603
43	999.796068
44	991.0622793
45	983.4777481
46	976.3323782
47	969.5795855
48	963.385483
49	954.7982247
50	948.9262167
51	943.8113047
52	937.5218649
53	932.9308694
54	927.652603
55	922.1306829
56	918.2345083
57	913.9063451
58	909.1232685
59	903.8924239
60	899.5664834
61	896.3801122
62	893.102803
63	888.7133295
64	885.9235291
65	883.3007912
66	879.1754157
67	875.1272686
68	871.4341424
69	867.4723488
70	864.6828694
71	861.4040815
72	858.6361497
73	855.6930739
74	853.933112
75	850.7219011
76	848.6849741
77	844.0431443
78	840.9245515
79	839.4965983
80	837.501341
81	835.2910528
82	833.0312823
83	830.5994472
84	828.7088891
85	825.5955081
86	824.2006967
87	821.7922574
88	820.3643689
89	818.6596609
90	816.7247514
91	814.9303686
92	813.6109748
93	811.5509378
94	808.3904376
95	806.1585186
96	804.1681437
97	801.214757
98	799.1926966
99	797.8013512
100	796.5876041
101	795.4145451
102	794.3894649
103	792.8098097
104	791.7551317
105	789.6900448
106	787.6100989
107	786.4189239
108	784.9046226
109	782.9866806
110	780.8536681
111	779.4215186
112	778.6121125
113	777.9624647
114	777.0831458
115	775.8152785
116	774.0074534
117	772.9590911
118	771.4315816
119	770.80085
120	769.4245534
121	768.3796878
122	767.4176835
123	765.1472728
124	764.6366615
125	763.3359868
126	762.5101712
127	761.2858415
128	760.488654
129	759.0283446
130	758.2890263
131	757.4264997
132	756.4076552
133	755.5551337
134	754.9876803
135	753.9099944
136	753.1466126
137	751.8193034
138	750.3827588
139	749.457326
140	748.7695791
141	748.2339542
142	747.1834605
143	746.1815789
144	745.4899076
145	743.9387513
146	743.4860473
147	742.7347879
148	742.2774494
149	741.677881
150	741.2300968
151	740.1829294
152	739.2793308
153	738.618238
154	737.692969
155	736.593424
156	735.6049954
157	734.7140128
158	733.9379522
159	733.0102639
160	732.6104933
161	731.8654139
162	731.2474676
163	728.7552206
164	728.112605
165	727.5312798
166	726.7532095
167	724.2674136
168	723.5222465
169	722.5773476
170	721.9145967
171	720.6348734
172	720.05003
173	718.6825517
174	717.7893238
175	716.7337378
176	715.62423
177	715.3340034
178	714.7194221
179	713.9623829
180	713.0641571
181	712.4032719
182	711.2976759
183	710.3357171
184	709.8469725
185	709.0687167
186	708.2336556
187	707.5326955
188	706.8593175
189	705.6968125
190	704.7111636
191	704.0073941
192	703.3384751
193	700.6247536
194	699.7629725
195	699.2341361
196	698.7951553
197	698.2808906
198	697.7026799
199	696.7888446
200	696.21562
201	695.5190014
202	694.8914513
203	694.3326253
204	693.5436728
205	692.7797372
206	692.2062409
207	691.5505629
208	691.224699
209	690.3451059
210	689.5182449
211	688.8066715
212	688.212409
213	687.4929772
214	686.9318136
215	686.2859991
216	685.1218425
217	684.6432578
218	683.6022302
219	683.1213942
220	682.437939
221	681.8113747
222	681.325536
223	680.426139
224	679.8162543
225	679.0428186
226	678.2761695
227	677.5969453
228	676.6459448
229	675.7446626
230	673.9752619
231	673.0782423
232	672.5246137
233	672.1563653
234	671.6549099
235	671.2569325
236	670.480668
237	669.8815958
238	668.6014476
239	667.9329157
240	667.598275
241	667.4795984
242	666.629931
243	665.9267234
244	665.685027
245	665.604148
246	664.8453875
247	662.7167347
248	662.4072865
249	661.8295394
250	661.057573
251	660.5314925
252	659.8819728
253	659.2350354
254	658.5828021
255	658.2417205
256	657.7567422
257	657.5854702
258	656.9792591
259	656.6840918
260	655.1947286
261	654.8239393
262	654.5047434
263	653.4392175
264	652.9021728
265	652.5428614
266	652.129062
267	651.8052417
268	651.3362195
269	651.0814085
270	650.4646752
271	649.1949499
272	648.5314645
273	647.9155312
274	647.5109223
275	647.2703854
276	647.0622218
277	646.6872582
278	645.7512841
279	645.2798106
280	644.8697573
281	644.4856087
282	644.0767854
283	643.7243768
284	643.163857
285	642.6344815
286	642.3946134
287	642.0832509
288	641.9215531
289	641.7002898
290	641.5343468
291	641.2816526
292	641.186097
293	641.0639197
294	640.8198035
295	640.2788358
296	639.044809
297	638.5978019
298	638.1246667
299	636.9837894
300	636.5705678
301	636.2179622
302	635.6030654
303	635.0610285
304	634.6213297
305	632.7874061
306	632.3637238
307	632.0085978
308	631.6999348
309	631.3730274
310	631.123817
311	630.7366236
312	630.4565445
313	630.0594242
314	629.7333144
315	629.3720592
316	628.972438
317	628.4649575
318	628.2475285
319	627.876804
320	627.4811874
321	626.7569589
322	625.6579438
323	625.2340324
324	624.9153867
325	624.562841
326	624.3297245
327	624.049172
328	623.5249823
329	623.2253504
330	622.732128
331	622.2452279
332	620.4617389
333	620.0754721
334	619.7435644
335	619.4848141
336	619.1375538
337	618.7076238
338	618.5306245
339	618.1920332
340	618.0354554
341	617.266182
342	616.9005056
343	616.5592036
344	616.1268158
345	615.7341757
346	615.2633718
347	614.8639316
348	614.1350076
349	613.9556657
350	613.4344414
351	612.5918326
352	612.1095486
353	611.8047383
354	610.2946607
355	610.0137724
356	609.7098055
357	609.3266219
358	609.025111
359	608.7148025
360	608.3385577
361	608.165368
362	607.9696334
363	607.7179035
364	607.4494943
365	607.1024731
366	606.7705952
367	606.1439121
368	605.8597038
369	605.35764
370	604.8752844
371	604.5779935
372	603.6144317
373	603.2983478
374	602.9760598
375	602.7089723
376	602.3903951
377	602.0165365
378	601.7493429
379	601.3952798
380	601.0253515
381	600.4967443
382	600.3667611
383	600.1036501
384	599.7182538
385	599.3949635
386	599.004016
387	598.7267181
388	597.9088265
389	597.5886316
390	597.1873807
391	596.9215027
392	596.6982321
393	596.3434756
394	596.1111956
395	595.7606678
396	595.1593658
397	594.9056423
398	594.5933849
399	594.3910431
400	594.0445408
401	593.7393139
402	593.4547299
403	593.2506602
404	592.9454461
405	592.6478439
406	591.17627
407	590.8005067
408	590.576545
409	590.2919797
410	589.9940858
411	589.6949369
412	589.3487896
413	589.0603114
414	588.8774929
415	588.5198921
416	587.154772
417	586.7834766
418	586.567643
419	586.3267551
420	586.0577025
421	585.6720938
422	585.1121525
423	584.8518873
424	584.5853432
425	583.4324417
426	583.2020287
427	582.9344168
428	582.6548367
429	582.4322773
430	582.162481
431	581.9212504
432	581.6406293
433	581.3296941
434	581.0676592
435	580.8696873
436	580.5391655
437	580.2281897
438	579.9978458
439	578.7567417
440	578.486549
441	578.1428669
442	577.9524609
443	577.7335974
444	577.4946329
445	577.0993454
446	576.7050449
447	576.4990066
448	576.2019395
449	575.8788944
450	575.5601905
451	575.3921778
452	575.0008154
453	574.8018566
454	574.5871566
455	574.3385412
456	574.0496136
457	573.7232644
458	573.438047
459	572.2827681
460	571.9943407
461	571.6906339
462	571.4277114
463	571.1888211
464	570.8998476
465	570.740416
466	570.5085408
467	570.3687844
468	570.0232009
469	569.8167879
470	569.5354192
471	569.321563
472	568.3552399
473	568.1164411
474	567.9003614
475	567.7264789
476	567.4504215
477	567.2060996
478	566.9250104
479	566.7583491
480	566.3933552
481	566.1588269
482	565.808672
483	565.4271153
484	565.1466754
485	564.8765654
486	564.6849287
487	564.4883019
488	564.1849917
489	563.8758642
490	563.6968584
491	563.4933805
492	563.2422098
493	562.4070098
494	562.1629115
495	561.9748512
496	561.750788
497	561.5315812
498	561.314003
499	561.0104821
500	560.8219279
501	560.4881147
502	560.2017257
503	559.990441
504	559.7859714
505	559.2923482
506	559.017602
507	558.8454406
508	558.7175083
509	558.4733184
510	558.3058159
511	558.0434254
512	557.8574377
513	557.6161899
514	557.2700183
515	557.0101303
516	556.8170626
517	556.600428
518	556.3891868
519	556.0424721
520	555.910954
521	554.8417045
522	554.5754086
523	554.4376568
524	554.1864074
525	553.9917751
526	553.8331021
527	553.612402
528	553.3886088
529	552.6915281
530	552.5222953
531	552.3406675
532	552.1610967
533	551.9229104
534	551.7692907
535	551.5850319
536	551.2845326
537	551.1468876
538	550.9434882
539	550.1443983
540	550.0031134
541	549.8270105
542	549.6375204
543	549.3984385
544	549.2342296
545	549.1308556
546	548.9327259
547	547.9150784
548	547.6528924
549	547.4548666
550	547.3534748
551	547.1973942
552	547.007473
553	546.7889966
554	546.381011
555	546.1703073
556	546.0234634
557	545.9113955
558	545.718292
559	545.4745756
560	545.2770834
561	545.0399905
562	544.8741707
563	544.5016528
564	544.3314937
565	544.1231222
566	543.9223817
567	543.5468809
568	543.3868102
569	543.3247245
570	543.2354239
571	542.3507052
572	542.1460028
573	541.9508298
574	541.7953333
575	541.6107061
576	541.463119
577	541.3218055
578	541.0681277
579	540.2043809
580	539.9835633
581	539.7355486
582	539.6221745
583	539.4226187
584	538.7652517
585	538.5509612
586	538.3996159
587	538.2643018
588	538.0239175
589	537.8459395
590	537.6610449
591	537.5023008
592	537.2457887
593	537.1149898
594	537.0299348
595	536.9213652
596	536.7272208
597	536.5697579
598	536.5647758
599	536.4058335
600	536.080518
601	535.9455502
602	535.8115138
603	535.5813346
604	535.3952574
605	535.1519823
606	534.9730133
607	534.8464905
608	534.0403615
609	533.7993541
610	533.6515139
611	533.431275
612	532.8364185
613	532.6710069
614	532.4742484
615	532.340481
616	532.1556033
617	531.9844221
618	531.8429458
619	531.7505856
620	531.5873549
621	531.3791987
622	531.0556594
623	530.7258969
624	530.5609159
625	530.2895409
626	530.1650739
627	529.9625043
628	529.7092126
629	529.4981466
630	528.7730078
631	528.5767222
632	528.3621869
633	528.1437496
634	527.9746384
635	527.8486899
636	527.6825881
637	527.5892468
638	527.3466074
639	527.2525024
640	526.9396806
641	526.7996897
642	526.6961728
643	526.4032361
644	526.2489891
645	525.6024665
646	525.4673317
647	525.3620141
648	525.1877547
649	525.0950342
650	524.9020582
651	524.761243
652	524.6104151
653	524.5283047
654	523.8538484
655	523.6666943
656	523.5222931
657	523.4164044
658	523.1927287
659	523.0178667
660	522.7575877
661	522.6089899
662	522.3891712
663	522.2923054
664	521.9994549
665	521.9500001
666	521.8216096
667	521.2171228
668	521.0362744
669	520.8857238
670	520.7396972
671	520.5997003
672	520.4403953
673	520.3677725
674	520.1691661
675	519.9297242
676	519.775886
677	519.6405553
678	519.4994589
679	519.3133928
680	519.137149
681	518.9313291
682	518.7282251
683	518.648568
684	518.5518672
685	518.3094417
686	518.0998539
687	517.8685073
688	517.7490427
689	517.4982739
690	517.3783134
691	517.1280732
692	516.8880078
693	516.7351125
694	516.5922519
695	516.4422535
696	516.3264257
697	516.1243534
698	515.5661476
699	515.4351115
700	515.2650287
701	515.1258293
702	514.9599763
703	514.8310404
704	514.5403995
705	514.4240881
706	514.2275891
707	513.9929556
708	513.897802
709	513.8481983
710	513.6007009
711	513.4277396
712	513.285059
713	513.0995231
714	512.9784933
715	512.7997289
716	512.673931
717	512.3859534
718	512.2484324
719	512.0300693
720	511.908152
721	511.6775727
722	511.1091251
723	510.9338724
724	510.7802985
725	510.6674901
726	510.5448634
727	510.3266506
728	510.1252079
729	509.9901503
730	509.8582816
731	509.6874426
732	509.1676942
733	509.0312291
734	508.9113599
735	508.7249574
736	508.6069875
737	508.1206005
738	508.002941
739	507.8753625
740	507.7845086
741	507.6787443
742	507.5615909
743	507.3961466
744	507.1967033
745	507.1252174
746	507.0595424
747	506.9464555
748	506.6961095
749	506.630408
750	506.3256731
751	506.2095879
752	506.0395077
753	505.8223405
754	505.6758205
755	505.4578117
756	505.3496612
757	505.1655892
758	505.0684303
