iter	Passed	Remaining
0	7	7086
1	13	6531
2	18	6019
3	24	6025
4	26	5199
5	32	5452
6	34	4952
7	40	4967
8	44	4939
9	49	4862
10	54	4875
11	68	5644
12	72	5489
13	74	5280
14	79	5211
15	83	5135
16	85	4960
17	90	4955
18	96	4959
19	99	4852
20	101	4742
21	104	4635
22	106	4512
23	108	4409
24	115	4486
25	117	4394
26	120	4332
27	123	4280
28	133	4459
29	138	4482
30	142	4458
31	152	4606
32	156	4576
33	164	4680
34	169	4671
35	171	4605
36	176	4600
37	188	4760
38	191	4721
39	199	4778
40	203	4753
41	206	4703
42	211	4715
43	220	4794
44	223	4743
45	234	4853
46	242	4909
47	244	4855
48	259	5037
49	266	5061
50	270	5036
51	274	4996
52	276	4938
53	280	4920
54	284	4894
55	287	4844
56	291	4827
57	294	4791
58	301	4810
59	307	4820
60	311	4793
61	321	4862
62	324	4830
63	326	4780
64	334	4804
65	337	4777
66	340	4746
67	344	4718
68	349	4709
69	351	4673
70	358	4687
71	363	4681
72	368	4681
73	375	4697
74	377	4661
75	384	4670
76	389	4669
77	395	4669
78	400	4663
79	405	4661
80	407	4625
81	415	4647
82	419	4637
83	423	4615
84	425	4579
85	434	4617
86	437	4590
87	439	4554
88	442	4529
89	446	4513
90	452	4520
91	454	4490
92	457	4458
93	460	4436
94	462	4406
95	468	4414
96	471	4387
97	474	4364
98	477	4343
99	479	4314
100	485	4317
101	489	4312
102	493	4297
103	496	4276
104	501	4276
105	504	4257
106	510	4257
107	512	4231
108	516	4221
109	518	4197
110	523	4194
111	526	4173
112	528	4152
113	533	4147
114	535	4124
115	538	4102
116	540	4078
117	542	4054
118	544	4030
119	547	4017
120	550	4002
121	552	3979
122	554	3957
123	557	3936
124	559	3914
125	561	3893
126	564	3883
127	568	3875
128	571	3855
129	573	3836
130	575	3817
131	578	3805
132	583	3801
133	586	3790
134	591	3789
135	595	3781
136	601	3786
137	603	3769
138	605	3751
139	608	3739
140	611	3726
141	614	3713
142	617	3702
143	620	3688
144	622	3671
145	625	3657
146	628	3648
147	634	3650
148	639	3652
149	642	3643
150	646	3635
151	653	3644
152	656	3634
153	659	3623
154	661	3607
155	665	3600
156	668	3590
157	672	3582
158	676	3577
